date,title,media_type,url
11/07/2020,The Tails of Comet NEOWISE,image,https://apod.nasa.gov/apod/image/2007/C2020_F3_NEOWISE_2020_07_10_druckmuller1024.jpg
12/07/2020,Comet CG Creates Its Dust Tail,image,https://apod.nasa.gov/apod/image/2007/Comet67P_Rosetta_960.jpg
13/07/2020,Comet NEOWISE Rising over the Adriatic Sea,video,https://www.youtube.com/embed/ts0Ek3nLHew?rel=0
14/07/2020,Comet NEOWISE over Stonehenge,image,https://apod.nasa.gov/apod/image/2007/NeowiseStonehenge_Deval_960.jpg
15/07/2020,Comet NEOWISE over the Swiss Alps,image,https://apod.nasa.gov/apod/image/2007/NeowiseAlps_salzgeber_960.jpg
16/07/2020,The Long Tails of Comet NEOWISE,image,https://apod.nasa.gov/apod/image/2007/2020_07_14_NEOWISE_Suchy_Vrch_1263px.jpg
17/07/2020,NEOWISE of the North,image,https://apod.nasa.gov/apod/image/2007/DSC1028_PetersNEOWISEAuroralSpike_800.jpg
18/07/2020,Finding NEOWISE,image,https://apod.nasa.gov/apod/image/2007/NEOWISEBelowBigDipper-7-16-2020-TomMasterson1081.jpg
19/07/2020,Rotating Moon from LRO,video,https://www.youtube.com/embed/sNUNB6CMnE8?rel=0
20/07/2020,Comet NEOWISE and Nebulae,image,https://apod.nasa.gov/apod/image/2007/NeowiseNebs_Oszywa_960.jpg
21/07/2020,Iron in the Butterfly Nebula,image,https://apod.nasa.gov/apod/image/2007/Butterfly_HubbleSchmidt_1080.jpg
22/07/2020,The Structured Tails of Comet NEOWISE,image,https://apod.nasa.gov/apod/image/2007/Neowise_Lin_960.jpg
23/07/2020,Fairytale NEOWISE,image,https://apod.nasa.gov/apod/image/2007/SGUNeuschwansteinNeowiseIMG2532-1050.jpg
24/07/2020,MAGIC NEOWISE,image,https://apod.nasa.gov/apod/image/2007/DSC7590-Leutenegger1200c.jpg
25/07/2020,Tianwen-1 Mission to Mars,image,https://apod.nasa.gov/apod/image/2007/169A2911Dai1024.jpg
26/07/2020,A Flight through the Hubble Ultra Deep Field,video,https://www.youtube.com/embed/PDMp8a-YNe0?rel=0
27/07/2020,Comet and Lightning Beyond Bighorn Mountains,image,https://apod.nasa.gov/apod/image/2007/CometLightning_Palmer_960.jpg
28/07/2020,NGC 6188: The Dragons of Ara,image,https://apod.nasa.gov/apod/image/2007/N6188_Cappelletti_960.jpg
29/07/2020,The Giants of Summer,image,https://apod.nasa.gov/apod/image/2007/giantsummerAPOD.jpg
30/07/2020,The Red Planet Mars,image,https://apod.nasa.gov/apod/image/2007/Mars23Jul2020-LDB3.jpg
31/07/2020,"Mars 2020 from 5,000 Feet",image,https://apod.nasa.gov/apod/image/2007/Mars2020launchKraus1024.jpg
01/08/2020,The Elephant's Trunk Nebula in Cepheus,image,https://apod.nasa.gov/apod/image/2008/IC1396_Chad_Leader1208.jpg
02/08/2020,"Two Worlds, One Sun",image,https://apod.nasa.gov/apod/image/2008/TwoWorldsOneSun_Bouic_1080.jpg
03/08/2020,Comet NEOWISE over Vikos Gorge,image,https://apod.nasa.gov/apod/image/2008/NeowiseGorge_Emmanouilidi_960.jpg
04/08/2020,NGC 2442: Galaxy in Volans,image,https://apod.nasa.gov/apod/image/2008/NGC2442_HstGendler_960.jpg
05/08/2020,Picture Rocks Sun Dagger,video,https://www.youtube.com/embed/X_UOLpUDwpU?rel=0
06/08/2020,Messier 20 and 21,image,https://apod.nasa.gov/apod/image/2008/trifidnebulaM20M21_1024.jpg
07/08/2020,The Pipe Nebula,image,https://apod.nasa.gov/apod/image/2008/pipenebula_rc3_1024.jpg
08/08/2020,Crescent Saturn,image,https://apod.nasa.gov/apod/image/2008/CrescentSaturn_cassini_1080.jpg
09/08/2020,The Origin of Elements,image,https://apod.nasa.gov/apod/image/2008/Nucleosynthesis2_WikipediaCmglee_1080.jpg
10/08/2020,Perseids from Perseus,image,https://apod.nasa.gov/apod/image/2008/NightOfThePerseids_Horalek_960.jpg
11/08/2020,Churning Clouds on Jupiter,image,https://apod.nasa.gov/apod/image/2008/JupiterChurning_JunoGill_1080.jpg
12/08/2020,The Shifting Tails of Comet NEOWISE,image,https://apod.nasa.gov/apod/image/2008/NeowiseSequence_Llorens_960_annotated.jpg
13/08/2020,Jupiter and Saturn Rising Beyond Alien Throne Rock,image,https://apod.nasa.gov/apod/image/2008/AlienThrone_Zajac_960.jpg
14/08/2020,NGC 5189: An Unusually Complex Planetary Nebula,image,https://apod.nasa.gov/apod/image/2008/NGC5189_HubbleVargas_960.jpg
17/08/2020,Perseids Around the Milky Way,image,https://apod.nasa.gov/apod/image/2008/PerseidBridge_Zhang_1080.jpg
18/08/2020,TYC 8998-760-1: Multiple Planets around a Sun Like Star,image,https://apod.nasa.gov/apod/image/2008/TYC8998_ESO_960.jpg
19/08/2020,The Sun Rotating,video,https://www.youtube.com/embed/2WRgXvdasm0
